Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
3.12.2024 12:44:37,Kırmızı,Durdu,10,1,728214
3.12.2024 12:44:37,Kırmızı,Durdu,9,899372,1,617526
3.12.2024 12:44:38,Kırmızı,Durdu,9,472421,1,168163
3.12.2024 12:44:38,Kırmızı,Durdu,9,212502,0,9021105
3.12.2024 12:44:38,Kırmızı,Durdu,9,084038,0,7724489
3.12.2024 12:44:38,Kırmızı,Durdu,8,974535,0,6632568
3.12.2024 12:44:38,Kırmızı,Durdu,8,886768,0,5765945
3.12.2024 12:44:38,Kırmızı,Durdu,8,794553,0,4864838
3.12.2024 12:44:38,Kırmızı,Durdu,8,698385,0,3935426
3.12.2024 12:44:38,Kırmızı,Durdu,8,593568,0,2934601
3.12.2024 12:44:38,Kırmızı,Durdu,8,480564,0,1869766
3.12.2024 12:44:38,Kırmızı,Durdu,8,37881,0,09224246
3.12.2024 12:44:38,Kırmızı,Durdu,8,280448,0,001742542
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
3.12.2024 12:46:46,Kırmızı,Durdu,10,16,91133
3.12.2024 12:46:46,Kırmızı,Durdu,9,920321,16,82349
3.12.2024 12:46:46,Kırmızı,Durdu,9,724223,16,61158
3.12.2024 12:46:46,Kırmızı,Durdu,9,625973,16,50647
3.12.2024 12:46:46,Kırmızı,Durdu,9,518971,16,39328
3.12.2024 12:46:46,Kırmızı,Durdu,9,403975,16,27311
3.12.2024 12:46:46,Kırmızı,Durdu,9,30683,16,17264
3.12.2024 12:46:46,Kırmızı,Durdu,9,201296,16,06473
3.12.2024 12:46:46,Kırmızı,Durdu,9,096758,15,95905
3.12.2024 12:46:46,Kırmızı,Durdu,8,995589,15,85792
3.12.2024 12:46:46,Kırmızı,Durdu,8,890561,15,75416
3.12.2024 12:46:46,Kırmızı,Durdu,8,78816,15,65415
3.12.2024 12:46:46,Kırmızı,Durdu,8,692084,15,56135
3.12.2024 12:46:46,Kırmızı,Durdu,8,581215,15,45563
3.12.2024 12:46:46,Kırmızı,Durdu,8,462591,15,34408
3.12.2024 12:46:46,Kırmızı,Durdu,8,346182,15,23611
3.12.2024 12:46:46,Kırmızı,Durdu,8,236279,15,13552
3.12.2024 12:46:46,Kırmızı,Durdu,8,129552,15,03911
3.12.2024 12:46:46,Kırmızı,Durdu,8,016843,14,9387
3.12.2024 12:46:46,Kırmızı,Durdu,7,923145,14,85621
3.12.2024 12:46:47,Kırmızı,Durdu,7,83488,14,77936
3.12.2024 12:46:47,Kırmızı,Durdu,7,736392,14,69469
3.12.2024 12:46:47,Kırmızı,Durdu,7,648949,14,62037
3.12.2024 12:46:47,Kırmızı,Durdu,7,547407,14,53521
3.12.2024 12:46:47,Kırmızı,Durdu,7,455386,14,45898
3.12.2024 12:46:47,Kırmızı,Durdu,7,354408,14,37646
3.12.2024 12:46:47,Kırmızı,Durdu,7,265737,14,30487
3.12.2024 12:46:47,Kırmızı,Durdu,7,165329,14,22492
3.12.2024 12:46:47,Kırmızı,Durdu,7,067009,14,14772
3.12.2024 12:46:47,Kırmızı,Durdu,6,961787,14,06632
3.12.2024 12:46:47,Kırmızı,Durdu,6,863585,13,99143
3.12.2024 12:46:47,Kırmızı,Durdu,6,753489,13,90881
3.12.2024 12:46:47,Kırmızı,Durdu,6,547733,13,75911
3.12.2024 12:46:47,Kırmızı,Durdu,6,397076,13,65202
3.12.2024 12:46:47,Kırmızı,Durdu,6,107988,13,45581
3.12.2024 12:46:47,Kırmızı,Durdu,5,97378,13,36673
3.12.2024 12:46:47,Kırmızı,Durdu,5,865157,13,29594
3.12.2024 12:46:47,Kırmızı,Durdu,5,76548,13,23208
3.12.2024 12:46:47,Kırmızı,Durdu,5,665831,13,16935
3.12.2024 12:46:47,Kırmızı,Durdu,5,567239,13,10836
3.12.2024 12:46:47,Kırmızı,Durdu,5,469597,13,04901
3.12.2024 12:46:47,Kırmızı,Durdu,5,359574,12,98349
3.12.2024 12:46:47,Kırmızı,Durdu,5,269109,12,93052
3.12.2024 12:46:47,Kırmızı,Durdu,5,160644,12,86833
3.12.2024 12:46:47,Kırmızı,Durdu,5,060698,12,81213
3.12.2024 12:46:47,Kırmızı,Durdu,4,957873,12,75549
3.12.2024 12:46:47,Kırmızı,Durdu,4,835598,12,68979
3.12.2024 12:46:47,Kırmızı,Durdu,4,693673,12,61576
3.12.2024 12:46:47,Kırmızı,Durdu,4,569804,12,55286
3.12.2024 12:46:47,Kırmızı,Durdu,4,446672,12,49203
3.12.2024 12:46:47,Kırmızı,Durdu,4,342489,12,44175
3.12.2024 12:46:47,Kırmızı,Durdu,4,23848,12,39277
3.12.2024 12:46:47,Kırmızı,Durdu,4,144675,12,34957
3.12.2024 12:46:47,Kırmızı,Durdu,4,048631,12,30637
3.12.2024 12:46:47,Kırmızı,Durdu,3,929676,12,25442
3.12.2024 12:46:47,Kırmızı,Durdu,3,826413,12,21052
3.12.2024 12:46:47,Kırmızı,Durdu,3,726735,12,16925
3.12.2024 12:46:47,Kırmızı,Durdu,3,62043,12,12648
3.12.2024 12:46:47,Kırmızı,Durdu,3,514464,12,0851
3.12.2024 12:46:47,Kırmızı,Durdu,3,399614,12,04172
3.12.2024 12:46:47,Kırmızı,Durdu,3,306916,12,00766
3.12.2024 12:46:47,Kırmızı,Durdu,3,194247,11,96768
3.12.2024 12:46:47,Kırmızı,Durdu,3,08644,11,9307
3.12.2024 12:46:47,Kırmızı,Durdu,2,979648,11,89535
3.12.2024 12:46:47,Kırmızı,Durdu,2,847326,11,85348
3.12.2024 12:46:47,Kırmızı,Durdu,2,745749,11,82249
3.12.2024 12:46:47,Kırmızı,Durdu,2,634971,11,79006
3.12.2024 12:46:47,Kırmızı,Durdu,2,54036,11,76335
3.12.2024 12:46:47,Kırmızı,Durdu,2,449344,11,73858
3.12.2024 12:46:47,Kırmızı,Durdu,2,350724,11,71282
3.12.2024 12:46:47,Kırmızı,Durdu,2,256794,11,68927
3.12.2024 12:46:47,Kırmızı,Durdu,2,137454,11,66093
3.12.2024 12:46:47,Kırmızı,Durdu,2,015774,11,63368
3.12.2024 12:46:47,Kırmızı,Durdu,1,919809,11,6132
3.12.2024 12:46:47,Kırmızı,Durdu,1,826445,11,59426
3.12.2024 12:46:47,Kırmızı,Durdu,1,733523,11,57636
3.12.2024 12:46:47,Kırmızı,Durdu,1,63736,11,55887
3.12.2024 12:46:47,Kırmızı,Durdu,1,530421,11,54069
3.12.2024 12:46:47,Kırmızı,Durdu,1,436702,11,52573
3.12.2024 12:46:47,Kırmızı,Durdu,1,34683,11,51227
3.12.2024 12:46:47,Kırmızı,Durdu,1,252131,11,4991
3.12.2024 12:46:47,Kırmızı,Durdu,1,15546,11,48668
3.12.2024 12:46:47,Kırmızı,Durdu,1,042768,11,47363
3.12.2024 12:46:47,Kırmızı,Durdu,0,9417831,11,46306
3.12.2024 12:46:47,Kırmızı,Durdu,0,8342592,11,4531
3.12.2024 12:46:47,Kırmızı,Durdu,0,7444581,11,44567
3.12.2024 12:46:47,Kırmızı,Durdu,0,6563049,11,43924
3.12.2024 12:46:47,Kırmızı,Durdu,0,570462,11,43379
3.12.2024 12:46:47,Kırmızı,Durdu,0,482523,11,42908
3.12.2024 12:46:47,Kırmızı,Durdu,0,4005285,11,42543
3.12.2024 12:46:47,Kırmızı,Durdu,0,3101685,11,42232
3.12.2024 12:46:47,Kırmızı,Durdu,0,2312277,11,42029
3.12.2024 12:46:47,Kırmızı,Durdu,0,1384908,11,41886
3.12.2024 12:46:47,Kırmızı,Durdu,0,0356604,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:47,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41846
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:48,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:49,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
